SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532395,AXISCADES   ,B ,Q,192.60,204.50,188.25,199.55,199.55,190.35,6001,332920,65669490.00,
532397,ARMS PAPER  ,Z ,Q,1.43,1.43,1.43,1.43,1.43,1.50,2,200,286.00,
532400,KPIT        ,A ,Q,170.65,177.50,170.65,176.15,176.15,169.40,2319,206719,36407087.00,
532401,VIJAYA BANK ,B ,Q,70.00,70.85,70.00,70.55,70.55,70.35,448,77815,5482219.00,
532404,SAVEN TECHNO,X ,Q,22.00,22.40,21.50,22.05,22.40,21.95,16,2685,59143.00,
532406,AVANTEL LTD ,X ,Q,359.00,374.90,358.00,368.35,365.50,364.30,63,4495,1629085.00,
532407,MOSCHIP SEMI,X ,Q,41.60,41.60,37.50,37.75,37.55,40.10,415,165427,6441041.00,
532408,MEGASOFT LTD,T ,Q,13.99,14.05,13.40,13.89,14.05,13.56,73,17416,241358.00,
532410,TRANSCORP IN,X ,Q,39.05,41.25,36.55,41.25,41.25,37.50,74,53202,2189993.00,
532413,CEREBRA INTE,B ,Q,39.80,40.05,38.70,39.15,38.70,39.40,312,69229,2711382.00,
532416,MID-DAY MULT,T ,Q,19.40,19.40,18.40,18.70,18.50,18.70,22,9838,182693.00,
532418,ANDHRA BANK ,A ,Q,60.20,60.85,59.85,60.70,60.70,60.20,595,97303,5862724.00,
532419,SMARTLINK   ,B ,Q,101.10,114.20,101.10,110.40,110.40,102.05,1151,82613,9155798.00,
532424,GODREJ CONS ,A ,Q,990.00,1000.80,986.65,991.20,991.20,990.00,387,7477,7421357.00,
532430,BF UTILI    ,A ,Q,468.70,481.80,467.55,479.75,479.75,463.85,2832,160232,76125453.00,
532432,UNITD SPR   ,A ,Q,3448.00,3487.45,3415.00,3476.20,3476.20,3401.35,1368,21409,74164437.00,
532439,GOLDST INFRA,B ,Q,185.90,189.00,183.25,184.30,183.50,184.05,108,8040,1485309.00,
532440,MPS LTD     ,B ,Q,585.10,605.00,585.10,599.35,604.95,592.25,39,1888,1130370.00,
532443,CERA SANITAR,B ,Q,3706.00,3800.05,3699.35,3772.70,3778.25,3706.15,154,409,1530315.00,
532454,BHARTI ARTL ,A ,Q,526.00,539.95,520.20,536.40,539.30,526.15,5054,4612310,2415583547.00,
532455,SHALIMAR WIR,XT,Q,17.75,18.60,17.75,18.60,18.60,17.75,27,3983,74047.00,
532456,COMPUAGE INF,B ,Q,46.95,49.50,46.45,48.90,48.90,45.90,680,149759,7253726.00,
532457,GULSHAN POLY,B ,Q,79.55,81.40,79.55,80.60,80.90,80.60,90,9550,769599.00,
532459,AUNDE IND   ,XT,Q,65.95,67.90,65.00,65.00,65.00,65.95,10,1402,93629.00,
532460,PONNI SUG(ER,B ,Q,175.00,175.00,175.00,175.00,175.00,170.00,4,100,17500.00,
532461,PUNJAB NATIO,A ,Q,180.90,181.40,176.40,178.35,178.35,178.40,5088,1113776,199143251.00,
532466,ORACLE FIN  ,A ,Q,3947.70,4099.70,3936.00,4082.00,4082.00,3934.25,433,3786,15205037.00,
532467,HAZ MUL PRO ,X ,Q,0.56,0.56,0.56,0.56,0.56,0.56,2,1025,574.00,
532468,KAMAHOLDING ,B ,Q,3460.05,3500.00,3400.00,3481.00,3490.00,3465.35,68,338,1163520.00,
532475,APTECH LTD  ,B ,Q,370.00,386.35,369.00,377.20,375.90,367.15,3887,250514,94878841.00,
532477,UNION BANK L,A ,Q,156.50,156.50,150.30,150.85,150.85,154.65,2179,489445,74302474.00,
532478,UNITED BREWA,A ,Q,1038.00,1086.85,1028.00,1082.05,1082.05,1038.00,990,18636,20021896.00,
532479,ISMT LTD    ,T ,Q,14.25,14.79,14.15,14.46,14.70,14.29,65,24240,350353.00,
532480,ALLAHABAD BK,A ,Q,75.00,75.00,73.90,74.40,74.40,74.10,262,49336,3669873.00,
532481,NOIDA-TOLL B,B ,Q,12.71,13.00,12.71,12.76,12.75,12.84,38,14397,183820.00,
532482,GRANULES (I),A ,Q,126.50,129.25,126.50,128.85,129.00,127.15,884,115392,14745080.00,
532483,CANARA BANK ,A ,Q,367.15,371.90,364.50,370.75,370.75,365.10,1516,138080,50991379.00,
532485,BALMER LA.IN,X ,Q,460.05,483.40,457.75,473.85,473.85,460.00,115,5723,2697871.00,
532486,POKARNA LTD ,B ,Q,202.20,205.00,201.00,202.50,202.50,204.45,158,6197,1255794.00,
532488,DIVI'S LAB. ,A ,Q,1053.10,1062.00,1047.30,1059.05,1059.25,1053.70,676,24557,25959958.00,
532493,ASTRA MICRO ,B ,Q,112.95,116.10,112.55,114.95,114.95,111.90,538,42196,4827798.00,
532497,RADICOKHAIT ,B ,Q,273.70,281.40,271.00,279.05,279.05,269.25,2741,190740,52994514.00,
532498,SHRMCITYUN  ,A ,Q,2055.00,2105.95,2055.00,2089.05,2090.90,2056.60,17,37,77295.00,
532500,MARUTISUZUK ,A ,Q,9390.00,9855.00,9340.00,9804.50,9804.50,9308.05,8714,92983,891132917.00,
